xRel,yRel,D,WD,H
1.3,4.7,11.4591559026165,0.642510139437562,12
2.65,4.3,11.6183108457084,0.5796,16
4.2,6.9,83.8746550094289,0.5912,40
5.9,4.7,14.9605646506382,0.568211290322581,18
6.4,4.1,36.7647918542278,0.529666666666667,27
13.5,2.3,13.5281701628111,0.409,20
15.4,1.9,17.8253536262923,0.31,24
15.9,0.7,17.8253536262923,0.88,21
15.2,6.2,15.9154943091895,0.529666666666667,22
19.4,7.9,17.8253536262923,0.5796,24
17.5,19.5,11.7774657888003,0.578086944444444,18
15.6,18.4,16.3929591384652,0.393621212121212,19
9.8,19.2,11.4591559026165,0.609456770833333,14
9.5,18.1,20.5309876588545,0.6815,23
11.7,14.5,16.5521140815571,0.578086944444444,20
9.1,13.8,11.4591559026165,0.578086944444444,18
6.4,11.2,11.1408460164327,0.819962424242424,15
4.7,16,31.0352139029196,0.642510139437562,28
4,16,11.4591559026165,0.793401515151515,18
6.3,16.5,13.687325105903,0.578086944444444,23
6.2,17.5,28.3295798703574,0.5912,27
0.85,23,29.2845095289087,0.8,26
2.3,24.2,11.1408460164327,0.642510139437562,13
1.7,27.2,54.1126806512444,0.642510139437562,33
0.35,29.4,11.7774657888003,0.656777272727273,8
1.9,34.6,10.1859163578813,0.814828571428572,11
0.5,38.9,11.7774657888003,0.458531818181818,15
0,37,14.6422547644544,0.539081638418079,16
2.9,31.9,25.1464810085195,0.5912,26
2.9,29,10.9816910733408,0.8,12
6.1,28.5,16.2338041953733,0.642510139437562,18
6.5,23.9,11.9366207318922,0.851,21
10.3,23.6,26.1014106670708,0.848593137254902,22
13.1,23.9,12.7323954473516,0.642510139437562,13
9.9,28.9,18.4619733986599,0.642510139437562,20
10.7,34.7,12.8915503904435,0.644092948717949,13
14.3,27.6,25.6239458377952,0.65,23
16,26,14.4830998213625,0.468710884353741,8
19.3,21.1,21.1676074312221,0.642510139437562,23
19.8,24.7,15.278874536822,0.524666666666667,18
16.6,29.2,47.7464829275686,0.404821666666667,34
16.6,30.7,10.0267614147894,0.836,11
17.1,31,76.3943726841098,0.642510139437562,37
18.6,30,43.9267642933631,0.665168724279836,32
18.6,32.2,21.0084524881302,0.578086944444444,24
9.9,39.8,21.6450722604978,0.5796,25
9.9,42.3,11.3000009595246,0.642510139437562,17
0.5,42.8,38.3563412851468,0.88,30
1,42.5,16.3929591384652,0.644092948717949,18
2,44.7,11.7774657888003,0.802,13
0,47.4,15.4380294799138,0.644092948717949,17
4.2,50.2,22.759156862141,0.572,17
4.3,50.4,15.278874536822,0.6625,17
7.6,47,10.3450713009732,0.86,6
11,44.3,14.9605646506382,0.642510139437562,19
12.3,45.6,25.4647908947033,0.5796,26
11.6,49,20.3718327157626,0.6815,24
19.2,46.5,10.5042262440651,0.642510139437562,15
17,48.1,19.735212943395,0.548333333333333,22
19.3,51,10.663381187157,0.57,14
18.1,56,10.0267614147894,0.642510139437562,12
19,59.2,29.1253545858168,0.642510139437562,24
15.4,57.3,10.5042262440651,0.642510139437562,14
14.9,58.1,11.4591559026165,0.642510139437562,16
13,57.8,42.9718346348117,0.76,30
10.2,57,10.5042262440651,0.86,13
9.6,54.7,14.9605646506382,0.642510139437562,16
6.8,54.1,19.8943678864869,0.642510139437562,25
6.4,59.3,10.8225361302489,0.578086944444444,11
7.1,59.6,10.1859163578813,0.5796,16
8.3,59.9,31.3535237891034,0.642510139437562,31
1.3,60.8,32.4676083907467,0.5796,33
1.1,60.8,15.7563393660976,0.642510139437562,16
1.3,64.8,13.0507053335354,0.568211290322581,22
6.1,67,21.6450722604978,0.568211290322581,26
6.4,66.5,12.7323954473516,0.5796,27
9.4,66.2,20.6901426019464,0.642510139437562,21
8.5,60.7,15.278874536822,0.578086944444444,20
10.9,62.5,18.1436635124761,0.642510139437562,21
13.2,63.5,11.6183108457084,0.642510139437562,21
14.4,62.4,28.966199642725,0.694512820512821,26
15.3,63,27.0563403256222,0.31,33
15.3,64.1,45.2000038380983,0.76,32
15.3,63,14.3239448782706,0.508,6
18.3,61,29.9211293012763,0.576692307692308,33
19.9,61.7,10.1859163578813,0.7646,12
15.3,67.2,10.1859163578813,0.750488913690476,18
17.5,68.2,10.9816910733408,0.88,17.5
19.6,70.5,11.9366207318922,0.534375,19
19.6,77.6,36.446481968044,0.578086944444444,31
13.4,71.6,27.374650211806,0.591037654320988,29
10.7,75.3,24.8281711223357,0.5638125,31
9,77.7,21.9633821466816,0.8,21
8.8,77.4,70.028174960434,0.5912,41
6.2,74.4,24.9873260654276,0.393621212121212,27
4.4,73,26.8971853825303,0.568211290322581,23
3,70.2,75.4394430255584,0.642510139437562,32
1.8,71.2,11.4591559026165,0.640125,14
4.3,77.6,18.1436635124761,0.88,23
4.3,77.4,13.3690152197192,0.409,26
3.1,77.4,39.3112709436982,0.642510139437562,29
9.2,79,10.1859163578813,0.578086944444444,18
1.7,81.1,19.0985931710274,0.8,21.5
0.5,83,28.4887348134493,0.393621212121212,23
0.5,89.1,13.0507053335354,0.578086944444444,17
5.8,87.7,21.0084524881302,0.642510139437562,22
6.4,88,13.3690152197192,0.642510139437562,19
8.1,85.2,26.5788754963465,0.579127777777778,22
10.5,85.3,10.5042262440651,0.642510139437562,11
10.6,83.4,25.6239458377952,0.5796,18
14.8,84.6,16.2338041953733,0.642510139437562,20.5
17.9,85.2,17.1887338539247,0.539081638418079,23
18.8,87.3,11.1408460164327,0.687841171749599,15
19.5,91,11.1408460164327,0.393621212121212,17
19.4,92.2,15.278874536822,0.644092948717949,16
19.4,92.5,13.8464800489949,0.836,21
17.5,95.6,18.1436635124761,0.6815,22
16,94.2,41.3802852038928,0.609456770833333,23
16,98.6,14.4830998213625,0.642510139437562,17
13.2,99.1,85.9436692696235,0.5912,54
12.2,98.3,19.8943678864869,0.648677083333333,25
12.2,100,15.278874536822,0.802,10
9.2,96.1,31.3535237891034,0.642510139437562,27
6.6,95.6,13.5281701628111,0.642510139437562,21
2.7,95.4,21.326762374314,0.750488913690476,22
3,96.9,13.2098602766273,0.572,15
2.1,98.4,10.8225361302489,0.7646,8
3.4,99.5,10.8225361302489,0.534375,10
0,97.5,19.0985931710274,0.32,25
21,3.7,13.2098602766273,0.640125,14
23.2,3.1,34.3774677078494,0.393621212121212,26
26.3,2.8,10.0267614147894,0.5912,14
28.3,5,44.5633840657307,0.644857142857143,33
31,3.4,43.2901445209955,0.5796,38
31,3.4,10.663381187157,0.642510139437562,14.0662679686493
32.7,2.1,15.7563393660976,0.642510139437562,20
31.9,7.1,15.9154943091895,0.5796,24
36.1,4.3,20.2126777726707,0.642510139437562,24
36.3,4.1,12.2549306180759,0.642510139437562,15.6177340062071
40,8.7,14.4830998213625,0.8,17
40,10.5,29.9211293012763,0.254761111111111,25
36.5,11.4,22.759156862141,0.5796,28
33.9,14.2,10.9816910733408,0.642510139437562,13
39.2,16,13.0507053335354,0.642510139437562,19
31.6,15.1,22.4408469759572,0.458531818181818,23
29.7,13.9,70.028174960434,0.642510139437562,27
28.5,15.3,14.1647899351787,0.524666666666667,16
26.6,14.9,26.4197205532546,0.404821666666667,26
25.6,13.8,16.5521140815571,0.393621212121212,20
25.5,13.6,29.1253545858168,0.5796,33
23.4,12.2,36.9239467973197,0.642510139437562,29
21.4,11.7,17.5070437401085,0.6815,16
20.1,14.7,21.0084524881302,0.578086944444444,24
23.8,19.4,17.9845085693842,0.642510139437562,18
20.6,21.5,35.3323973664008,0.404821666666667,28
24.2,25.1,36.9239467973197,0.542470421245421,28.5
22.1,26.6,28.8070446996331,0.640125,18
30.6,20.5,19.8943678864869,0.825263020833333,15
38.4,24.6,70.028174960434,0.578086944444444,22
36.6,31,57.2957795130823,0.497,39
36.2,30.5,24.5098612361519,0.568211290322581,25
36.2,32.6,22.2816920328654,0.5796,30
35.4,32.1,18.1436635124761,0.576125,22
39.6,31.5,15.278874536822,0.825263020833333,19
39.5,36,23.2366216914167,0.84,21
37,36.6,12.5732405042597,0.642510139437562,21
36.7,38.5,19.0985931710274,0.925,24
35.4,38,11.4591559026165,0.642510139437562,16
29.7,34.8,17.1887338539247,0.539081638418079,21
31.4,32.2,15.278874536822,0.661833333333333,17
27,34.5,11.7774657888003,0.642510139437562,18
23.1,35.3,12.4140855611678,0.617740728715729,17
20,34.7,14.1647899351787,0.642510139437562,16
23,37.2,11.1408460164327,0.642510139437562,18
24,39.6,20.0535228295788,0.695,17
29.2,39.2,29.2845095289087,0.31,31.5
24,44,24.9873260654276,0.568211290322581,19
22.5,48.5,11.1408460164327,0.98,9
29.8,43.7,11.4591559026165,0.578086944444444,15
31.5,41.6,35.014087480217,0.697589743589744,30
33.8,41.3,12.5732405042597,0.819962424242424,16
35.3,42.9,14.0056349920868,0.645,14
35.9,45.3,10.5042262440651,0.4862,15
38.8,48.3,22.9183118052329,0.576692307692308,23
39.2,49,35.014087480217,0.88,31
38.9,51.3,10.663381187157,0.716,13
39.5,53.7,21.326762374314,0.642510139437562,24
36.5,54.5,12.8915503904435,0.578086944444444,16.5
39.5,59.1,14.4830998213625,0.6815,15
35.3,59.3,13.0507053335354,0.508,9
28.8,54,43.9267642933631,0.466666666666667,33
31.2,52.3,19.0985931710274,0.642510139437562,26
28.6,52.8,17.5070437401085,0.642510139437562,19
28.6,54.3,12.4140855611678,0.5796,20
24.6,54.9,10.1859163578813,0.642510139437562,12.5
24.6,55.7,159.154943091895,0.921363636363636,40
21.6,54.9,16.5521140815571,0.642510139437562,19.3521612308957
20.4,61.1,16.3929591384652,0.750488913690476,24
22.4,64.1,13.2098602766273,0.5638125,21
22.4,64.2,11.7774657888003,0.470125,15
24.1,62.4,17.0295789108328,0.79817,21
25.8,61,33.1042281631142,0.633128571428571,30
29.6,60,13.0507053335354,0.762833333333333,19
33.2,63.7,10.663381187157,0.576125,14
36.6,61.7,17.5070437401085,0.691,15
38.3,61.7,51.725356504866,0.82825,32
39.4,61.2,11.7774657888003,0.64675625,17
35.5,67,21.8042272035897,0.572,15
35.2,68.1,34.5366226509413,0.393621212121212,27
35.6,69.3,12.7323954473516,0.642510139437562,15
38.8,71,12.095775674984,0.404821666666667,30
39.1,77.6,15.9154943091895,0.716,18
38.5,78.2,13.687325105903,0.88,14
35.7,76.4,24.6690161792438,0.64675625,28
34.1,77.6,13.2098602766273,0.742333333333333,16
33.6,74.6,21.9633821466816,0.642510139437562,26
32.9,75,16.8704239677409,0.8,18
32.8,72.6,11.9366207318922,0.642510139437562,14
27.9,70.5,10.1859163578813,0.642510139437562,13.5809369608991
27.3,70,18.4619733986599,0.576692307692308,18
25.2,68.5,29.2845095289087,0.849666666666667,28
22.8,69.1,20.0535228295788,0.539081638418079,28
20.2,73.8,12.8915503904435,0.642510139437562,18
21.7,75,81.6464858061423,0.5912,44
23.7,75.2,48.0647928137524,0.511571428571429,24
27.8,80.4,18.9394382279355,0.6815,26
39.1,85,20.6901426019464,0.665168724279836,18
38.4,87.3,13.5281701628111,0.88,22
37,90.2,13.687325105903,0.578086944444444,21
38,91.3,22.9183118052329,0.642510139437562,28
33.8,91,54.1126806512444,0.5796,41
33.1,88.3,32.3084534476548,0.72,26
30.9,87,14.4830998213625,0.88,20
27,91.6,44.5633840657307,0.572,26
24.6,88.8,10.8225361302489,0.642510139437562,15
23,97.3,14.0056349920868,0.642510139437562,19
26,95.4,14.9605646506382,0.88,20
28.3,95.5,13.2098602766273,0.568211290322581,18
28,98.1,34.3774677078494,0.642510139437562,30
37.5,98.8,28.3295798703574,0.742333333333333,26
