Arjonaceae = Schoepfiaceae = Santalales
Armeriaceae = Plumbaginaceae = Caryophyllales
Artemisiaceae = Asteraceae = Asterales
Arthrotaxidaceae = Cupressaceae = Cupressales
Artocarpaceae = Moraceae = Rosales
Arundinaceae = Poaceae = Poales
Arundinellaceae = Poaceae = Poales
Asaraceae = Aristolochiaceae = Piperales
Asclepiadaceae = Apocynaceae = Gentianales
Ascyraceae = Hypericaceae = Malpighiales
Aspalathaceae = Fabaceae = Fabales
Asparagaceae = Asparagales
Asperellaceae = Poaceae = Poales
Asperulaceae = Rubiaceae = Gentianales
Asphodelaceae = Asparagales
Aspidiaceae = Dryopteridaceae = Polypodiales-eupolypod I
Aspidistraceae = Asparagaceae = Asparagales
Aspleniaceae = eupolypod II
Asteliaceae = Asparagales
Asteraceae = Asterales
Asteranthaceae = Lecythidaceae = Ericales
Asteropeiaceae = Caryophyllales
Astragalaceae = Fabaceae = Fabales
Astrocarpaceae = Resedaceae = Brassicales
Athanasiaceae = Asteraceae = Asterales
Atherospermataceae = Laurales
Athyriaceae = eupolypod II
Atriplicaceae = Amaranthaceae = Caryophyllales
Atropaceae = Solanaceae = Solanales
Aucubaceae = Garryaceae = Garryales
Aurantiaceae = Rutaceae = Sapindales
Austrobaileyaceae = Austrobaileyales
Austrotaxaceae = Taxaceae = Cupressales
Avenaceae = Poaceae = Poales
Averrhoaceae = Oxalidaceae = Oxalidales
Avetraceae = Dioscoreaceae = Dioscoreales
Avicenniaceae = Acanthaceae = Lamiales
Azaleaceae = Ericaceae = Ericales
Azimaceae = Salvadoraceae = Brassicales
Azollaceae = Salviniaceae = Marsileales

Balanitaceae = Zygophyllaceae = Zygophyllales
Baeckeaceae = Myrtaceae = Myrtales
Balanopaceae = Malpighiales
Balanophoraceae = Santalales
Balsameaceae = Burseraceae = Sapindales
Balsaminaceae = Ericales
Bambusaceae = Poaceae = Poales
Barbaceniaceae = Velloziaceae = Pandanales
Barbeuiaceae = Caryophyllales
Barbeyaceae = Rosales
Barclayaceae = Nymphaeaceae = Nymphaeales
Barringtoniaceae = Lecythidaceae = Ericales
Basellaceae = Caryophyllales
Bataceae = Brassicales
Baueraceae = Cunoniaceae = Oxalidales
Bauhiniaceae = Fabaceae = Fabales
Baxteriaceae = Dasypogonaceae = Arecales
Begoniaceae = Cucurbitales
Behniaceae = Asparagaceae = Asparagales
Belangeraceae = Cunoniaceae = Oxalidales
Belloniaceae = Gesneriaceae = Lamiales
Bembiciaceae = Salicaceae = Malpighiales
Berberidaceae = Ranunculales
Berberidopsidaceae = Berberidopsidales
Berryaceae = Malvaceae = Malvales
Bersamaceae = Francoaceae = Geraniales
Bertyaceae = Euphorbiaceae = Malpighiales
Berzeliaceae = Bruniaceae = Bruniales
Besleriaceae = Gesneriaceae = Lamiales
Betaceae = Amaranthaceae = Caryophyllales
Betulaceae = Fagales
Biebersteiniaceae = Sapindales
Bifariaceae = Santalaceae = Santalales
Bignoniaceae = Lamiales
Bischofiaceae = Phyllanthaceae = Malpighiales
